,NO,지역구,배움터명,실제교육장소,교육방식,과정,교육명,시작일자,종료일자,시작시간,종료시간,강사,서포터즈,소분류,대분류
0,1,총괄,부산역 유라시아 플랫폼,,집합,생활,집에서 만나는 장보기,2021-08-02,2021-08-06,14:00,17:30,김정화,조영성,쇼핑,소셜 미디어
1,2,총괄,부산역 유라시아 플랫폼,,집합,기초,언택트시대 슬기로운 화상솔루션과 웨일온,2021-08-04,2021-08-06,9:30,13:00,강영애,김희용,기타,기타
2,3,총괄,부산역 유라시아 플랫폼,,집합,기초,"SNS 기초_카카오톡, 카카오스토리",2021-08-09,2021-08-13,9:30,13:00,강영애,김희용,sns 활용,소셜 미디어
3,4,총괄,부산역 유라시아 플랫폼,,집합,생활,구글앱 활용1,2021-08-09,2021-08-13,14:00,17:30,김정화,조영성,컴퓨터/모바일 기기 관리,컴퓨터 기초
4,5,총괄,부산역 유라시아 플랫폼,,집합,생활,편리한 교통과 장보기,2021-08-17,2021-08-20,9:30,13:00,강영애,김희용,이미지/동영상 제작편집,미디어 창작/앱 개발
5,6,총괄,부산역 유라시아 플랫폼,,집합,생활,민원서류 쉽게 준비하기,2021-08-17,2021-08-20,14:00,17:30,김정화,조영성,정부 행정서비스,생활 서비스
6,7,총괄,부산역 유라시아 플랫폼,,집합,기초,한글초급_한글 친해지기,2021-08-23,2021-08-27,9:30,13:00,강영애,김희용,문서 작성,컴퓨터 기초
7,8,총괄,부산역 유라시아 플랫폼,,집합,생활,키네마스터 앱을 활용한 동영상 만들기,2021-08-23,2021-08-27,14:00,17:30,김정화,조영성,이미지/동영상 제작편집,미디어 창작/앱 개발
8,9,총괄,부산역 유라시아 플랫폼,,집합,생활,(공공앱) 손쉽게 소통하는 편리한 민원,2021-08-30,2021-08-31,9:30,13:00,강영애,김희용,정부 행정서비스,생활 서비스
9,10,총괄,부산역 유라시아 플랫폼,,집합,생활,(공공앱) 스마트한 부산 교통정보,2021-08-30,2021-08-31,14:00,17:30,김정화,조영성,정부 행정서비스,생활 서비스
10,44,강서구,강서구청 정보화교육장,,집합,생활,편리한 교통 생활,2021-08-02,2021-08-04,9:30,13:00,한상준,이승아,이미지/동영상 제작편집,미디어 창작/앱 개발
11,45,강서구,강서구청 정보화교육장,,집합,기초,오피스 엑셀 기초,2021-08-02,2021-08-04,14:00,17:30,안화숙,최현정,문서 작성,컴퓨터 기초
12,47,강서구,강서구청 정보화교육장,,집합,생활,키오스크와 함께 스마트한 생활,2021-08-05,2021-08-06,9:30,13:00,한상준,이승아,다양한 IT기기 이용방법,생활 서비스
13,49,강서구,강서구청 정보화교육장,,집합,기초,핵심내용으로 구성된 초급엑셀실무 TIP,2021-08-05,2021-08-06,14:00,17:30,안화숙,최현정,문서 작성,컴퓨터 기초
14,50,강서구,강서구청 정보화교육장,,집합,기초,오피스 엑셀 기초,2021-08-09,2021-08-11,9:30,13:00,한상준,이승아,문서 작성,컴퓨터 기초
15,51,강서구,강서구청 정보화교육장,,집합,기초,파워포인트초급_파워포인트와 친해지기,2021-08-09,2021-08-11,14:00,17:30,안화숙,최현정,문서 작성,컴퓨터 기초
16,53,강서구,강서구청 정보화교육장,,집합,기초,핵심내용으로 구성된 초급엑셀실무 TIP,2021-08-12,2021-08-13,9:30,13:00,한상준,이승아,문서 작성,컴퓨터 기초
17,55,강서구,강서구청 정보화교육장,,집합,기초,파워포인트초급_표와 차트 활용,2021-08-12,2021-08-13,14:00,17:30,안화숙,최현정,문서 작성,컴퓨터 기초
18,57,강서구,강서구청 정보화교육장,,집합,기초,핵심내용으로 구성된 초급엑셀실무 TIP,2021-08-17,2021-08-20,9:30,13:00,한상준,이승아,문서 작성,컴퓨터 기초
19,58,강서구,강서구청 정보화교육장,,집합,기초,파워포인트초급_워드아트와 스마트아트 활용,2021-08-17,2021-08-18,14:00,17:30,안화숙,최현정,문서 작성,컴퓨터 기초
20,60,강서구,강서구청 정보화교육장,,집합,생활,내가 만드는 포토북과 스마트한 일기책,2021-08-19,2021-08-20,14:00,17:30,안화숙,최현정,이미지/동영상 제작편집,미디어 창작/앱 개발
21,61,강서구,강서구청 정보화교육장,,집합,생활,스마트 앱을 활용한 동영상 만들기(멸치),2021-08-23,2021-08-24,9:30,13:00,한상준,이승아,이미지/동영상 제작편집,미디어 창작/앱 개발
22,62,강서구,강서구청 정보화교육장,,집합,생활,(공공앱) 앱으로 떠나는 흥미로운 부산여행,2021-08-23,2021-08-25,14:00,17:30,안화숙,최현정,정부 행정서비스,생활 서비스
23,64,강서구,강서구청 정보화교육장,,집합,생활,사진앱 포토 동영상과 클라우드 관리하기,2021-08-25,2021-08-27,9:30,13:00,한상준,이승아,이미지/동영상 제작편집,미디어 창작/앱 개발
24,66,강서구,강서구청 정보화교육장,,집합,생활,키오스크와 함께 스마트한 생활,2021-08-26,2021-08-27,14:00,17:30,안화숙,최현정,다양한 IT기기 이용방법,생활 서비스
25,67,강서구,강서구청 정보화교육장,,집합,기초,파워포인트초급_파워포인트와 친해지기,2021-08-30,2021-08-31,9:30,13:00,한상준,이승아,문서 작성,컴퓨터 기초
26,69,강서구,강서구청 정보화교육장,,집합,기초,블로그만들기,2021-08-30,2021-08-31,14:00,17:30,안화숙,최현정,개인블로그 및 카페 개설활용 방법,소셜 미디어
27,105,강서구,신호평생학습관,,집합,기초,"SNS 기초_카카오톡, 카카오스토리",2021-08-03,2021-08-04,14:00,17:30,박미숙,김선주,sns 활용,소셜 미디어
28,108,강서구,신호평생학습관,,집합,생활,편리한 어플리케이션,2021-08-10,2021-08-11,14:00,17:30,박미숙,김선주,이미지/동영상 제작편집,미디어 창작/앱 개발
29,111,강서구,신호평생학습관,,집합,기초,나도 이제 사진작가,2021-08-17,2021-08-18,14:00,17:30,박미숙,김선주,이미지/동영상 제작편집,미디어 창작/앱 개발
30,115,강서구,신호평생학습관,,집합,생활,후후로 보이스피싱 없는 세상,2021-08-24,2021-08-25,14:00,17:30,박미숙,김선주,정보 보안,컴퓨터 기초
31,119,강서구,신호평생학습관,,집합,기초,SNS 스타_인스타그램,2021-08-30,2021-08-31,14:00,17:30,박미숙,김선주,sns 활용,소셜 미디어
32,285,금정구,서3동 행정복지센터 주민자율공간,노인복지관,집합,기초,친절한 스마트씨!(스마트폰 기초),2021-08-03,2021-08-04,14:00,17:30,김지원,박꽃새,컴퓨터/모바일 기기 관리,컴퓨터 기초
33,289,금정구,서3동 행정복지센터 주민자율공간,노인복지관,집합,기초,"SNS 기초_카카오톡, 카카오스토리",2021-08-10,2021-08-11,14:00,17:30,김지원,박꽃새,sns 활용,소셜 미디어
34,293,금정구,서3동 행정복지센터 주민자율공간,노인복지관,집합,생활,편리한 교통 생활,2021-08-17,2021-08-18,14:00,17:30,김지원,박꽃새,이미지/동영상 제작편집,미디어 창작/앱 개발
35,297,금정구,서3동 행정복지센터 주민자율공간,노인복지관,집합,생활,집에서 만나는 장보기,2021-08-24,2021-08-25,14:00,17:30,김지원,박꽃새,쇼핑,소셜 미디어
36,358,기장군,정관읍 행정복지센터,정관 LH5단지,집합,기초,친절한 스마트씨!(스마트폰 기초),2021-08-03,2021-08-04,9:30,13:00,도원희,정지인,컴퓨터/모바일 기기 관리,컴퓨터 기초
37,360,기장군,정관읍 행정복지센터,정관 LH5단지,집합,기초,나도 이제 사진작가,2021-08-05,2021-08-06,9:30,13:00,도원희,정지인,이미지/동영상 제작편집,미디어 창작/앱 개발
38,362,기장군,정관읍 행정복지센터,정관 LH5단지,집합,기초,"SNS 기초_카카오톡, 카카오스토리",2021-08-10,2021-08-11,9:30,13:00,도원희,정지인,sns 활용,소셜 미디어
39,364,기장군,정관읍 행정복지센터,정관 LH5단지,집합,기초,SNS 스타_인스타그램,2021-08-12,2021-08-13,9:30,13:00,도원희,정지인,sns 활용,소셜 미디어
40,366,기장군,정관읍 행정복지센터,정관 LH5단지,집합,생활,편리한 교통 생활,2021-08-17,2021-08-18,9:30,13:00,도원희,정지인,이미지/동영상 제작편집,미디어 창작/앱 개발
41,368,기장군,정관읍 행정복지센터,정관 LH5단지,집합,생활,집에서 만나는 장보기,2021-08-19,2021-08-20,9:30,13:00,도원희,정지인,쇼핑,소셜 미디어
42,370,기장군,정관읍 행정복지센터,정관 LH5단지,집합,생활,편리한 어플리케이션,2021-08-24,2021-08-25,9:30,13:00,도원희,정지인,이미지/동영상 제작편집,미디어 창작/앱 개발
43,372,기장군,정관읍 행정복지센터,정관 LH5단지,집합,생활,민원서류 쉽게 준비하기,2021-08-26,2021-08-27,9:30,13:00,도원희,정지인,정부 행정서비스,생활 서비스
44,374,기장군,정관읍 행정복지센터,정관 LH5단지,집합,생활,키오스크와 함께 스마트한 생활,2021-08-30,2021-08-31,9:30,13:00,도원희,정지인,다양한 IT기기 이용방법,생활 서비스
45,408,남구,남구도서관 4층 키움실,,집합,기초,친절한 스마트씨!(스마트폰 기초),2021-08-03,2021-08-04,9:00,12:00,손연우,이예서,컴퓨터/모바일 기기 관리,컴퓨터 기초
46,410,남구,남구도서관 4층 키움실,,집합,기초,나도 이제 사진작가,2021-08-10,2021-08-11,9:00,12:00,손연우,이예서,이미지/동영상 제작편집,미디어 창작/앱 개발
47,412,남구,남구도서관 4층 키움실,,집합,생활,키네마스터 앱을 활용한 동영상 만들기,2021-08-17,2021-08-18,9:00,12:00,손연우,이예서,이미지/동영상 제작편집,미디어 창작/앱 개발
48,414,남구,남구도서관 4층 키움실,,집합,생활,유튜브 슬기롭게 활용하기,2021-08-24,2021-08-25,9:00,12:00,손연우,이예서,이미지/동영상 제작편집,미디어 창작/앱 개발
49,513,동구,부산디자인진흥센터,,집합,기초,블로그만들기1,2021-08-03,2021-08-04,14:00,17:30,이주하,박미경,개인블로그 및 카페 개설활용 방법,소셜 미디어
50,514,동구,부산디자인진흥센터,,집합,기초,블로그만들기1,2021-08-03,2021-08-04,19:00,21:00,허미라,전윤아,개인블로그 및 카페 개설활용 방법,소셜 미디어
51,515,동구,부산디자인진흥센터,,집합,기초,블로그만들기1,2021-08-05,2021-08-06,14:00,17:30,이주하,박미경,개인블로그 및 카페 개설활용 방법,소셜 미디어
52,517,동구,부산디자인진흥센터,,집합,기초,블로그만들기2,2021-08-10,2021-08-11,14:00,17:30,이주하,박미경,개인블로그 및 카페 개설활용 방법,소셜 미디어
53,518,동구,부산디자인진흥센터,,집합,기초,블로그만들기2,2021-08-10,2021-08-11,19:00,21:00,허미라,전윤아,개인블로그 및 카페 개설활용 방법,소셜 미디어
54,519,동구,부산디자인진흥센터,,집합,기초,블로그만들기2,2021-08-12,2021-08-13,14:00,17:30,이주하,박미경,개인블로그 및 카페 개설활용 방법,소셜 미디어
55,521,동구,부산디자인진흥센터,,집합,생활,모두 홈페이지 PC버전,2021-08-17,2021-08-18,14:00,17:30,이주하,박미경,개인블로그 및 카페 개설활용 방법,소셜 미디어
56,522,동구,부산디자인진흥센터,,집합,생활,모두 홈페이지 PC버전,2021-08-17,2021-08-18,19:00,21:00,허미라,전윤아,개인블로그 및 카페 개설활용 방법,소셜 미디어
57,523,동구,부산디자인진흥센터,,집합,생활,모두 홈페이지 PC버전,2021-08-19,2021-08-20,14:00,17:30,이주하,박미경,개인블로그 및 카페 개설활용 방법,소셜 미디어
58,542,동래구,동래구 배움터,,집합,기초,친절한 스마트씨!(스마트폰 기초),2021-08-02,2021-08-04,14:00,17:30,최찬우,김지철,컴퓨터/모바일 기기 관리,컴퓨터 기초
59,544,동래구,동래구 배움터,,집합,생활,집에서 만나는 장보기,2021-08-05,2021-08-06,14:00,17:30,최찬우,김지철,쇼핑,소셜 미디어
60,545,동래구,동래구 배움터,,집합,생활,편리한 어플리케이션,2021-08-09,2021-08-11,14:00,17:30,최찬우,김지철,이미지/동영상 제작편집,미디어 창작/앱 개발
61,547,동래구,동래구 배움터,,집합,생활,민원서류 쉽게 준비하기,2021-08-12,2021-08-13,14:00,17:30,최찬우,김지철,정부 행정서비스,생활 서비스
62,548,동래구,동래구 배움터,,집합,기초,나도 이제 사진작가,2021-08-17,2021-08-18,14:00,17:30,최찬우,김지철,이미지/동영상 제작편집,미디어 창작/앱 개발
63,550,동래구,동래구 배움터,,집합,생활,편리한 교통 생활,2021-08-19,2021-08-20,14:00,17:30,최찬우,김지철,이미지/동영상 제작편집,미디어 창작/앱 개발
64,551,동래구,동래구 배움터,,집합,생활,키오스크와 함께 스마트한 생활,2021-08-23,2021-08-25,14:00,17:30,최찬우,김지철,다양한 IT기기 이용방법,생활 서비스
65,554,동래구,동래구 배움터,,집합,생활,(공공앱) 내 손안의 우체국,2021-08-26,2021-08-27,14:00,17:30,최찬우,김지철,정부 행정서비스,생활 서비스
66,556,동래구,동래구 배움터,,집합,생활,(공공앱) 스마트한 부산 교통정보,2021-08-30,2021-08-31,14:00,17:30,최찬우,김지철,정부 행정서비스,생활 서비스
67,567,동래구,반도보라 커뮤니티센터,,집합,심화,ITQ한글_수식입력&그리기도구,2021-08-03,2021-08-04,14:00,17:30,고석순,김소영,문서 작성,컴퓨터 기초
68,568,동래구,반도보라 커뮤니티센터,,집합,심화,ITQ한글_문서작성 능력평가,2021-08-05,2021-08-06,14:00,17:30,고석순,김소영,문서 작성,컴퓨터 기초
69,569,동래구,반도보라 커뮤니티센터,,집합,기초,파워포인트초급_파워포인트와 친해지기,2021-08-10,2021-08-11,14:00,17:30,고석순,김소영,문서 작성,컴퓨터 기초
70,570,동래구,반도보라 커뮤니티센터,,집합,기초,파워포인트초급_워드아트와 스마트아트 활용,2021-08-12,2021-08-13,14:00,17:30,고석순,김소영,문서 작성,컴퓨터 기초
71,571,동래구,반도보라 커뮤니티센터,,집합,기초,파워포인트초급_표와 차트 활용,2021-08-17,2021-08-18,14:00,17:30,고석순,김소영,문서 작성,컴퓨터 기초
72,572,동래구,반도보라 커뮤니티센터,,집합,심화,ITQ파워포인트_표지디자인&목차슬라이드,2021-08-19,2021-08-20,14:00,17:30,고석순,김소영,문서 작성,컴퓨터 기초
73,573,동래구,반도보라 커뮤니티센터,,집합,심화,ITQ파워포인트_텍스트/동영상 슬라이드,2021-08-24,2021-08-25,14:00,17:30,고석순,김소영,문서 작성,컴퓨터 기초
74,574,동래구,반도보라 커뮤니티센터,,집합,심화,ITQ파워포인트_표와 차트,2021-08-26,2021-08-27,14:00,17:30,고석순,김소영,문서 작성,컴퓨터 기초
75,575,동래구,반도보라 커뮤니티센터,,집합,심화,ITQ파워포인트_도형&스마트아트,2021-08-30,2021-08-31,14:00,17:30,고석순,김소영,문서 작성,컴퓨터 기초
76,651,부산진구,부산광역시립 시민도서관,,집합,생활,(초등학교 4학년 이상) 미리캔버스를 활용한 가족카드 뉴스 만들기,2021-08-03,2021-08-04,9:30,13:00,김혜정,이병경,이미지/동영상 제작편집,미디어 창작/앱 개발
77,652,부산진구,부산광역시립 시민도서관,,집합,생활,(초등학교 4학년 이상) 내가 만드는 포토북과 스마트한 일기책,2021-08-03,2021-08-04,14:00,17:30,오미정,문진희,이미지/동영상 제작편집,미디어 창작/앱 개발
78,653,부산진구,부산광역시립 시민도서관,,집합,심화,(초등학교 4학년 이상) 엔트리로 배우는 인공지능,2021-08-05,2021-08-06,9:30,13:00,김혜정,이병경,빅데이터,새로운 기기 기술 체험 및 활용법
79,654,부산진구,부산광역시립 시민도서관,,집합,심화,(초등학교 4학년 이상) 엔트리 인공지능 코딩,2021-08-05,2021-08-06,14:00,17:30,오미정,문진희,빅데이터,새로운 기기 기술 체험 및 활용법
80,657,부산진구,부산광역시립 시민도서관,,집합,생활,(초등학교 4학년 이상) 나는야 유튜브 크리에이터,2021-08-12,2021-08-13,14:00,17:30,오미정,문진희,이미지/동영상 제작편집,미디어 창작/앱 개발
81,658,부산진구,부산광역시립 시민도서관,,집합,생활,(초등학교 4학년 이상) 미리캔버스를 활용한 가족카드 뉴스 만들기,2021-08-17,2021-08-18,9:30,13:00,김혜정,이병경,이미지/동영상 제작편집,미디어 창작/앱 개발
82,659,부산진구,부산광역시립 시민도서관,,집합,생활,(초등학교 4학년 이상) 키네마스터 앱을 활용한 동영상 만들기,2021-08-17,2021-08-18,14:00,17:30,오미정,문진희,이미지/동영상 제작편집,미디어 창작/앱 개발
83,660,부산진구,부산광역시립 시민도서관,,집합,심화,(초등학교 4학년 이상) 엔트리로 배우는 인공지능,2021-08-19,2021-08-20,9:30,13:00,김혜정,이병경,빅데이터,새로운 기기 기술 체험 및 활용법
84,663,부산진구,부산광역시립 시민도서관,,집합,기초,(초등학교 4학년 이상) 파워포인트초급_파워포인트와 친해지기,2021-08-24,2021-08-25,14:00,17:30,오미정,문진희,문서 작성,컴퓨터 기초
85,665,부산진구,부산광역시립 시민도서관,,집합,생활,(초등4학년 이상) 나는야 유튜브 크리에이터,2021-08-26,2021-08-27,14:00,17:30,오미정,문진희,이미지/동영상 제작편집,미디어 창작/앱 개발
86,666,부산진구,부산노인회관,,집합,생활,스마트 앱을 활용한 동영상만들기(글그램&글씨팡팡),2021-08-03,2021-08-04,9:30,13:00,이경희A,황정희A,이미지/동영상 제작편집,미디어 창작/앱 개발
87,667,부산진구,부산노인회관,,집합,기초,컴퓨터 기초(윈도우 10),2021-08-03,2021-08-04,14:00,17:30,차명숙,송인옥,컴퓨터/모바일 기기 관리,컴퓨터 기초
88,668,부산진구,부산노인회관,,집합,생활,스마트 앱을 활용한 동영상만들기(블로),2021-08-05,2021-08-06,9:30,13:00,이경희A,황정희A,이미지/동영상 제작편집,미디어 창작/앱 개발
89,669,부산진구,부산노인회관,,집합,기초,윈도우10 파일과 폴더 활용,2021-08-05,2021-08-06,14:00,17:30,차명숙,송인옥,컴퓨터/모바일 기기 관리,컴퓨터 기초
90,670,부산진구,부산노인회관,,집합,생활,키오스크와 함께 스마트한 생활,2021-08-10,2021-08-11,9:30,13:00,이경희A,황정희A,다양한 IT기기 이용방법,생활 서비스
91,671,부산진구,부산노인회관,,집합,기초,한글초급_한글 친해지기,2021-08-10,2021-08-11,14:00,17:30,차명숙,송인옥,문서 작성,컴퓨터 기초
92,672,부산진구,부산노인회관,,집합,기초,한글초급_한글 이미지와 도형 활용,2021-08-12,2021-08-13,14:00,17:30,차명숙,송인옥,문서 작성,컴퓨터 기초
93,673,부산진구,부산노인회관,,집합,기초,친절한 스마트씨!(스마트폰 기초),2021-08-17,2021-08-18,14:00,17:30,차명숙,송인옥,컴퓨터/모바일 기기 관리,컴퓨터 기초
94,674,부산진구,부산노인회관,,집합,기초,한글초급_한글 친해지기,2021-08-19,2021-08-20,9:30,13:00,이경희A,황정희A,문서 작성,컴퓨터 기초
95,675,부산진구,부산노인회관,,집합,기초,나도 이제 사진작가,2021-08-19,2021-08-20,14:00,17:30,차명숙,송인옥,이미지/동영상 제작편집,미디어 창작/앱 개발
96,676,부산진구,부산노인회관,,집합,기초,한글초급_한글 이미지와 도형 활용,2021-08-24,2021-08-25,9:30,13:00,이경희A,황정희A,문서 작성,컴퓨터 기초
97,677,부산진구,부산노인회관,,집합,생활,편리한 어플리케이션,2021-08-24,2021-08-25,14:00,17:30,차명숙,송인옥,이미지/동영상 제작편집,미디어 창작/앱 개발
98,678,부산진구,부산노인회관,,집합,기초,한글초급_한글 표와 차트 활용,2021-08-26,2021-08-27,9:30,13:00,이경희A,황정희A,문서 작성,컴퓨터 기초
99,679,부산진구,부산노인회관,,집합,생활,키오스크와 함께 스마트한 생활,2021-08-26,2021-08-27,14:00,17:30,차명숙,송인옥,다양한 IT기기 이용방법,생활 서비스
100,680,부산진구,부산노인회관,,집합,생활,내가 만드는 포토북과 스마트한 일기책 (파워포인트를 활용한),2021-08-30,2021-08-31,9:30,13:00,이경희A,황정희A,이미지/동영상 제작편집,미디어 창작/앱 개발
101,681,부산진구,부산노인회관,,집합,생활,집에서 만나는 장보기,2021-08-30,2021-08-31,14:00,17:30,차명숙,송인옥,쇼핑,소셜 미디어
102,713,부산진구,부산진구 정보화교육장 (평생학습관),,집합,기초,"친절한 스마트씨!(스마트폰 기초) & SNS 기초_카카오톡, 카카오스토리",2021-08-02,2021-08-06,9:30,13:00,이수진,김성주,sns 활용,소셜 미디어
103,714,부산진구,부산진구 정보화교육장 (평생학습관),,집합,생활,스마트한 키오스크 생활 과 앱활용&(공공앱)앱으로 떠나는 흥미로운 부산여행,2021-08-02,2021-08-06,14:00,17:30,조현숙,이주현,다양한 IT기기 이용방법,생활 서비스
104,715,부산진구,부산진구 정보화교육장 (평생학습관),,집합,생활,스마트한 키오스크 생활과 앱활용& (공공앱) 앱으로 떠나는 흥미로운 부산여행,2021-08-09,2021-08-13,9:30,13:00,이수진,김성주,다양한 IT기기 이용방법,생활 서비스
105,716,부산진구,부산진구 정보화교육장 (평생학습관),,집합,기초,한글초급_한글과 친해지기& 이미지와 도형활용,2021-08-09,2021-08-13,14:00,17:30,조현숙,이주현,문서 작성,컴퓨터 기초
106,717,부산진구,부산진구 정보화교육장 (평생학습관),,집합,기초,나도 이제 사진작가& 스마트앱을 활용한 동영상 만들기,2021-08-17,2021-08-20,9:30,13:00,이수진,김성주,이미지/동영상 제작편집,미디어 창작/앱 개발
107,718,부산진구,부산진구 정보화교육장 (평생학습관),,집합,생활,(공공앱) 스마트한 부산 교통정보,2021-08-19,2021-08-20,14:00,17:30,조현숙,이주현,정부 행정서비스,생활 서비스
