,NO,지역구,배움터명,실제교육장소,교육방식,과정,교육명,시작일자,종료일자,시작시간,종료시간,강사,서포터즈,소분류,대분류
215,1099,수영구,구민정보화교육장(연수로275번길 30),,집합,생활,(공공앱) 손쉽게 소통하는 편리한 민원,2021-08-30,2021-08-31,9:30,13:00,이은주A,정다원,정부 행정서비스,생활 서비스
216,1100,수영구,구민정보화교육장(연수로275번길 30),,집합,심화,네이버 스마트스토어,2021-08-30,2021-08-31,14:00,17:30,신종호,전순영,온라인 판매 채널 개설 및 운영,소셜 미디어
217,1114,수영구,망미2동 행정복지센터(구락로81번길 40),,집합,기초,친절한 스마트씨!(스마트폰 기초),2021-08-03,2021-08-04,9:30,13:00,노현정,이승환,컴퓨터/모바일 기기 관리,컴퓨터 기초
218,1116,수영구,망미2동 행정복지센터(구락로81번길 40),,집합,기초,나도 이제 사진작가,2021-08-05,2021-08-06,9:30,13:00,노현정,이승환,이미지/동영상 제작편집,미디어 창작/앱 개발
219,1118,수영구,망미2동 행정복지센터(구락로81번길 40),,집합,생활,(공공앱) 스마트한 부산 교통정보,2021-08-10,2021-08-11,9:30,13:00,노현정,이승환,정부 행정서비스,생활 서비스
220,1121,수영구,망미2동 행정복지센터(구락로81번길 40),,집합,기초,"SNS 기초_카카오톡, 카카오스토리",2021-08-17,2021-08-18,9:30,13:00,노현정,이승환,sns 활용,소셜 미디어
221,1123,수영구,망미2동 행정복지센터(구락로81번길 40),,집합,생활,(공공앱) 앱으로 관리하는 우리가족 건강관리,2021-08-19,2021-08-20,9:30,13:00,노현정,이승환,정부 행정서비스,생활 서비스
222,1125,수영구,망미2동 행정복지센터(구락로81번길 40),,집합,생활,키오스크와 함께 스마트한 생활,2021-08-24,2021-08-25,9:30,13:00,노현정,이승환,다양한 IT기기 이용방법,생활 서비스
223,1127,수영구,망미2동 행정복지센터(구락로81번길 40),,집합,생활,후후로 보이스피싱 없는 세상,2021-08-26,2021-08-27,9:30,13:00,노현정,이승환,정보 보안,컴퓨터 기초
224,1129,수영구,망미2동 행정복지센터(구락로81번길 40),,집합,생활,(공공앱) 앱으로 떠나는 흥미로운 부산여행,2021-08-30,2021-08-31,9:30,13:00,노현정,이승환,정부 행정서비스,생활 서비스
225,1131,수영구,수영구 노인복지관,,집합,기초,나도 이제 사진작가,2021-08-03,2021-08-04,9:30,13:00,김율희,이승호,이미지/동영상 제작편집,미디어 창작/앱 개발
226,1132,수영구,수영구 노인복지관,,집합,기초,친절한 스마트씨!(스마트폰 기초),2021-08-03,2021-08-04,14:00,17:30,이지연,김지영,컴퓨터/모바일 기기 관리,컴퓨터 기초
227,1133,수영구,수영구 노인복지관,,집합,기초,친절한 스마트씨!(스마트폰 기초),2021-08-05,2021-08-06,9:30,13:00,김율희,이승호,컴퓨터/모바일 기기 관리,컴퓨터 기초
228,1134,수영구,수영구 노인복지관,,집합,기초,나도 이제 사진작가,2021-08-05,2021-08-06,14:00,17:30,이지연,김지영,이미지/동영상 제작편집,미디어 창작/앱 개발
229,1135,수영구,수영구 노인복지관,,집합,기초,"SNS 기초_카카오톡, 카카오스토리",2021-08-10,2021-08-11,9:30,13:00,김율희,이승호,sns 활용,소셜 미디어
230,1136,수영구,수영구 노인복지관,,집합,기초,"SNS 기초_카카오톡, 카카오스토리",2021-08-10,2021-08-11,14:00,17:30,이지연,김지영,sns 활용,소셜 미디어
231,1137,수영구,수영구 노인복지관,,집합,기초,언택트시대 슬기로운 화상솔루션,2021-08-12,2021-08-13,9:30,13:00,김율희,이승호,기타,기타
232,1138,수영구,수영구 노인복지관,,집합,생활,편리한 교통 생활,2021-08-12,2021-08-13,14:00,17:30,이지연,김지영,이미지/동영상 제작편집,미디어 창작/앱 개발
233,1139,수영구,수영구 노인복지관,,집합,생활,키오스크와 함께 스마트한 생활,2021-08-17,2021-08-18,9:30,13:00,김율희,이승호,다양한 IT기기 이용방법,생활 서비스
234,1140,수영구,수영구 노인복지관,,집합,생활,집에서 만나는 장보기,2021-08-17,2021-08-18,14:00,17:30,이지연,김지영,쇼핑,소셜 미디어
235,1141,수영구,수영구 노인복지관,,집합,생활,편리한 교통 생활,2021-08-19,2021-08-20,9:30,13:00,김율희,이승호,이미지/동영상 제작편집,미디어 창작/앱 개발
236,1142,수영구,수영구 노인복지관,,집합,생활,키네마스터 앱을 활용한 동영상 만들기,2021-08-19,2021-08-20,14:00,17:30,이지연,김지영,이미지/동영상 제작편집,미디어 창작/앱 개발
237,1143,수영구,수영구 노인복지관,,집합,생활,집에서 만나는 장보기,2021-08-24,2021-08-25,9:30,13:00,김율희,이승호,쇼핑,소셜 미디어
238,1144,수영구,수영구 노인복지관,,집합,생활,키오스크와 함께 스마트한 생활,2021-08-24,2021-08-25,14:00,17:30,이지연,김지영,다양한 IT기기 이용방법,생활 서비스
239,1145,수영구,수영구 노인복지관,,집합,생활,(공공앱) 앱으로 떠나는 흥미로운 부산여행,2021-08-26,2021-08-27,14:00,17:30,이지연,김지영,정부 행정서비스,생활 서비스
240,1147,수영구,수영구 평생학습관(수영로521번길77),,집합,생활,(공공앱) 스마트한 부산 교통정보,2021-08-05,2021-08-06,13:30,17:00,김희경,김미정,정부 행정서비스,생활 서비스
241,1149,수영구,수영구 평생학습관(수영로521번길77),,집합,기초,나도 이제 사진작가,2021-08-12,2021-08-13,13:30,17:00,김희경,김미정,이미지/동영상 제작편집,미디어 창작/앱 개발
242,1151,수영구,수영구 평생학습관(수영로521번길77),,집합,생활,후후로 보이스피싱 없는 세상,2021-08-19,2021-08-20,13:30,17:00,김희경,김미정,정보 보안,컴퓨터 기초
243,1153,수영구,수영구 평생학습관(수영로521번길77),,집합,기초,"SNS 기초_카카오톡, 카카오스토리",2021-08-26,2021-08-27,13:30,17:00,김희경,김미정,sns 활용,소셜 미디어
244,1189,연제구,거제종합사회복지관,,집합,기초,파워포인트초급_표와 차트 활용,2021-08-03,2021-08-04,9:30,13:00,이나겸,배민영,문서 작성,컴퓨터 기초
245,1190,연제구,거제종합사회복지관,,집합,생활,내가 만드는 포토북과 스마트한 일기책,2021-08-05,2021-08-06,9:30,13:00,이나겸,배민영,이미지/동영상 제작편집,미디어 창작/앱 개발
246,1191,연제구,거제종합사회복지관,,집합,생활,내가 만드는 포토북과 스마트한 일기책,2021-08-10,2021-08-11,9:30,13:00,이나겸,배민영,이미지/동영상 제작편집,미디어 창작/앱 개발
247,1193,연제구,거제종합사회복지관,,집합,생활,키네마스터 앱을 활용한 동영상 만들기,2021-08-12,2021-08-13,9:30,13:00,이나겸,배민영,이미지/동영상 제작편집,미디어 창작/앱 개발
248,1195,연제구,거제종합사회복지관,,집합,생활,키네마스터 앱을 활용한 동영상 만들기,2021-08-17,2021-08-18,9:30,13:00,이나겸,배민영,이미지/동영상 제작편집,미디어 창작/앱 개발
249,1197,연제구,거제종합사회복지관,,집합,기초,오피스 엑셀 기초,2021-08-19,2021-08-20,9:30,13:00,이나겸,배민영,문서 작성,컴퓨터 기초
250,1199,연제구,거제종합사회복지관,,집합,기초,오피스 엑셀 기초,2021-08-24,2021-08-25,9:30,13:00,이나겸,배민영,문서 작성,컴퓨터 기초
251,1200,연제구,거제종합사회복지관,,집합,기초,핵심내용으로 구성된 초급엑셀실무 TIP,2021-08-26,2021-08-27,9:30,13:00,이나겸,배민영,문서 작성,컴퓨터 기초
252,1203,연제구,거제종합사회복지관,,집합,기초,핵심내용으로 구성된 초급엑셀실무 TIP,2021-08-31,2021-08-31,9:30,13:00,이나겸,배민영,문서 작성,컴퓨터 기초
253,1258,연제구,연제구 평생학습관 정보화교육장,,집합,기초,한글초급_한글 친해지기,2021-08-09,2021-08-13,9:30,13:00,김민철,손민지,문서 작성,컴퓨터 기초
254,1260,연제구,연제구 평생학습관 정보화교육장,,집합,생활,사진앱 포토 동영상과 클라우드 관리하기,2021-08-17,2021-08-20,9:30,13:00,김민철,손민지,이미지/동영상 제작편집,미디어 창작/앱 개발
255,1261,연제구,연제구 평생학습관 정보화교육장,,집합,특별,드론의 이해와 활용,2021-08-17,2021-08-20,14:00,17:30,이성전,유지현,드론 제작 및 조종,새로운 기기 기술 체험 및 활용법
256,1262,연제구,연제구 평생학습관 정보화교육장,,집합,기초,컴퓨터 기초(윈도우10),2021-08-23,2021-08-27,9:30,13:00,김민철,손민지,컴퓨터/모바일 기기 관리,컴퓨터 기초
257,1263,연제구,연제구 평생학습관 정보화교육장,,집합,생활,키네마스터 앱을 활용한 동영상 만들기 &유튜브 슬기롭게 활용하기,2021-08-23,2021-08-27,14:00,17:30,박정은A,유지현,이미지/동영상 제작편집,미디어 창작/앱 개발
258,1309,영도구,영도구 정보화교육장(영도구청 4층),,집합,생활,스마트한 키오스크 생활과 앱활용,2021-08-02,2021-08-06,9:30,13:00,권민선,주은경,다양한 IT기기 이용방법,생활 서비스
259,1310,영도구,영도구 정보화교육장(영도구청 4층),,집합,기초,친절한 스마트씨!(스마트폰 기초),2021-08-02,2021-08-06,14:00,17:30,최정원,강동우,컴퓨터/모바일 기기 관리,컴퓨터 기초
260,1311,영도구,영도구 정보화교육장(영도구청 4층),,집합,기초,친절한 스마트씨!(스마트폰 기초),2021-08-09,2021-08-13,9:30,13:00,권민선,주은경,컴퓨터/모바일 기기 관리,컴퓨터 기초
261,1312,영도구,영도구 정보화교육장(영도구청 4층),,집합,기초,컴퓨터 기초(윈도우10),2021-08-09,2021-08-13,14:00,17:30,최정원,강동우,컴퓨터/모바일 기기 관리,컴퓨터 기초
262,1313,영도구,영도구 정보화교육장(영도구청 4층),,집합,기초,컴퓨터 기초(윈도우10),2021-08-17,2021-08-20,9:30,13:00,권민선,주은경,컴퓨터/모바일 기기 관리,컴퓨터 기초
263,1314,영도구,영도구 정보화교육장(영도구청 4층),,집합,기초,친절한 스마트씨!(스마트폰 기초),2021-08-17,2021-08-20,14:00,17:30,최정원,강동우,컴퓨터/모바일 기기 관리,컴퓨터 기초
264,1315,영도구,영도구 정보화교육장(영도구청 4층),,집합,기초,나도 이제 사진작가,2021-08-23,2021-08-27,9:30,13:00,권민선,주은경,이미지/동영상 제작편집,미디어 창작/앱 개발
265,1316,영도구,영도구 정보화교육장(영도구청 4층),,집합,생활,스마트한 키오스크 생활과 앱활용,2021-08-23,2021-08-27,14:00,17:30,최정원,강동우,다양한 IT기기 이용방법,생활 서비스
266,1317,영도구,영도구 정보화교육장(영도구청 4층),,집합,생활,(공공앱) 앱으로 떠나는 흥미로운 부산여행,2021-08-30,2021-08-31,9:30,13:00,권민선,주은경,정부 행정서비스,생활 서비스
267,1318,영도구,영도구 정보화교육장(영도구청 4층),,집합,생활,(공공앱) 앱으로 관리하는 우리가족 건강관리,2021-08-30,2021-08-31,14:00,17:30,최정원,강동우,정부 행정서비스,생활 서비스
268,1319,영도구,영도놀이마루,,집합,기초,친절한 스마트씨!(스마트폰 기초),2021-08-05,2021-08-06,13:30,17:00,권민선,주은경,컴퓨터/모바일 기기 관리,컴퓨터 기초
269,1320,영도구,영도놀이마루,,집합,생활,키오스크와 함께 스마트한 생활,2021-08-12,2021-08-13,13:30,17:00,권민선,주은경,다양한 IT기기 이용방법,생활 서비스
270,1321,영도구,영도놀이마루,,집합,기초,나도 이제 사진작가,2021-08-19,2021-08-20,13:30,17:00,권민선,주은경,이미지/동영상 제작편집,미디어 창작/앱 개발
271,1387,중구,중구 정보화 교육장,,집합,기초,한글 친해지기와 한글 표와 차트 활용,2021-08-09,2021-08-13,9:30,13:00,강율,허지혜,문서 작성,컴퓨터 기초
272,1388,중구,중구 정보화 교육장,,집합,기초,한글초급_한글 친해지기 및 이미지와 도형 활용,2021-08-09,2021-08-13,14:00,17:30,임종운,신경선,문서 작성,컴퓨터 기초
273,1389,중구,중구 정보화 교육장,,집합,기초,친절한 스마트씨와 편리한 어플리케이션,2021-08-17,2021-08-20,9:30,13:00,강율,허지혜,컴퓨터/모바일 기기 관리,컴퓨터 기초
274,1390,중구,중구 정보화 교육장,,집합,기초,친절한 스마트씨!(스마트폰 기초) 및 앱활용,2021-08-17,2021-08-20,14:00,17:30,임종운,신경선,컴퓨터/모바일 기기 관리,컴퓨터 기초
275,1391,중구,중구 정보화 교육장,,집합,기초,윈도우10 프램그램 및 파일과 폴더 활용,2021-08-23,2021-08-27,9:30,13:00,강율,허지혜,컴퓨터/모바일 기기 관리,컴퓨터 기초
276,1392,중구,중구 정보화 교육장,,집합,기초,윈도우 10 기초 및 파일과 폴더 활용,2021-08-23,2021-08-27,14:00,17:30,임종운,신경선,컴퓨터/모바일 기기 관리,컴퓨터 기초
277,1393,중구,중구 정보화 교육장,,집합,생활,키오스크와 함께 스마트한 생활,2021-08-30,2021-08-31,9:30,13:00,강율,허지혜,다양한 IT기기 이용방법,생활 서비스
278,1394,중구,중구 정보화 교육장,,집합,생활,(공공앱) 스마트한 부산 교통정보,2021-08-30,2021-08-31,14:00,17:30,임종운,신경선,정부 행정서비스,생활 서비스
279,1414,중구,중앙동 배움터,,집합,생활,(공공앱) 스마트한 부산 교통정보,2021-08-09,2021-08-11,9:30,13:00,윤둘자,김현영,정부 행정서비스,생활 서비스
280,1415,중구,중앙동 배움터,,집합,생활,앱으로 소통하기 SNS,2021-08-09,2021-08-11,14:00,17:30,정은화,최은영,sns 활용,소셜 미디어
281,1416,중구,중앙동 배움터,,집합,생활,유튜브 슬기롭게 활용하기,2021-08-12,2021-08-13,9:30,13:00,윤둘자,김현영,이미지/동영상 제작편집,미디어 창작/앱 개발
282,1417,중구,중앙동 배움터,,집합,생활,편리한 교통과 장보기,2021-08-12,2021-08-13,14:00,17:30,정은화,최은영,이미지/동영상 제작편집,미디어 창작/앱 개발
283,1418,중구,중앙동 배움터,,집합,생활,(공공앱) 앱으로 관리하는 우리가족 건강관리,2021-08-17,2021-08-18,9:30,13:00,윤둘자,김현영,정부 행정서비스,생활 서비스
284,1419,중구,중앙동 배움터,,집합,생활,민원서류 쉽게 준비하기,2021-08-17,2021-08-18,14:00,17:30,정은화,최은영,정부 행정서비스,생활 서비스
285,1420,중구,중앙동 배움터,,집합,기초,나도 이제 사진작가,2021-08-19,2021-08-20,9:30,13:00,윤둘자,김현영,이미지/동영상 제작편집,미디어 창작/앱 개발
286,1421,중구,중앙동 배움터,,집합,기초,스마트폰 왕초보,2021-08-19,2021-08-20,14:00,17:30,정은화,최은영,컴퓨터/모바일 기기 관리,컴퓨터 기초
287,1422,중구,중앙동 배움터,,집합,생활,(공공앱) 나에게 맞는 일자리 찾기,2021-08-23,2021-08-25,9:30,13:00,윤둘자,김현영,정부 행정서비스,생활 서비스
288,1423,중구,중앙동 배움터,,집합,생활,앱으로 소통하기 SNS(네이버밴드),2021-08-23,2021-08-25,14:00,17:30,정은화,최은영,sns 활용,소셜 미디어
289,1424,중구,중앙동 배움터,,집합,생활,폰 하나면 지도도 내손바닥(원내비 지하철종결자 카카오지하철),2021-08-26,2021-08-27,9:30,13:00,윤둘자,김현영,컴퓨터/모바일 기기 관리,컴퓨터 기초
290,1425,중구,중앙동 배움터,,집합,기초,"SNS 기초_카카오톡, 카카오스토리",2021-08-26,2021-08-27,14:00,17:30,정은화,최은영,sns 활용,소셜 미디어
291,1426,중구,중앙동 배움터,,집합,기초,"SNS 기초_카카오톡, 카카오스토리",2021-08-30,2021-08-31,9:30,13:00,윤둘자,김현영,sns 활용,소셜 미디어
292,1427,중구,중앙동 배움터,,집합,생활,스마트폰 앱을 활용한 동영상만들기,2021-08-30,2021-08-31,14:00,17:30,정은화,최은영,이미지/동영상 제작편집,미디어 창작/앱 개발
293,1495,해운대구,아시아선수촌 커뮤니티센터,,집합,생활,(공공앱) 앱으로 떠나는 흥미로운 부산여행,2021-08-02,2021-08-03,9:30,13:00,이은주B,전우양,정부 행정서비스,생활 서비스
294,1497,해운대구,아시아선수촌 커뮤니티센터,,집합,기초,디지털 미디어 리터러시와 저작권 이야기,2021-08-04,2021-08-06,9:30,13:00,이은주B,전우양,기타,기타
295,1498,해운대구,아시아선수촌 커뮤니티센터,,집합,생활,키오스크와 함께 스마트한 생활,2021-08-05,2021-08-06,14:00,17:30,배정희,박용락,다양한 IT기기 이용방법,생활 서비스
296,1499,해운대구,아시아선수촌 커뮤니티센터,,집합,생활,사진앱 포토 동영상과 클라우드 관리하기,2021-08-09,2021-08-10,9:30,13:00,이은주B,전우양,이미지/동영상 제작편집,미디어 창작/앱 개발
297,1500,해운대구,아시아선수촌 커뮤니티센터,,집합,생활,(공공앱) 앱으로 관리하는 우리가족 건강관리,2021-08-11,2021-08-13,9:30,13:00,이은주B,전우양,정부 행정서비스,생활 서비스
298,1501,해운대구,아시아선수촌 커뮤니티센터,,집합,생활,(공공앱) 앱으로 떠나는 흥미로운 부산여행,2021-08-12,2021-08-13,14:00,17:30,배정희,박용락,정부 행정서비스,생활 서비스
299,1502,해운대구,아시아선수촌 커뮤니티센터,,집합,기초,언택트시대 슬기로운 화상솔루션,2021-08-17,2021-08-17,9:30,13:00,이은주B,전우양,기타,기타
300,1504,해운대구,아시아선수촌 커뮤니티센터,,집합,생활,유튜브 슬기롭게 활용하기,2021-08-18,2021-08-20,9:30,13:00,이은주B,전우양,이미지/동영상 제작편집,미디어 창작/앱 개발
301,1505,해운대구,아시아선수촌 커뮤니티센터,,집합,기초,언택트시대 슬기로운 화상솔루션,2021-08-19,2021-08-20,14:00,17:30,배정희,박용락,기타,기타
302,1506,해운대구,아시아선수촌 커뮤니티센터,,집합,생활,앱으로 소통하기 SNS(네이버밴드),2021-08-23,2021-08-24,9:30,13:00,이은주B,전우양,sns 활용,소셜 미디어
303,1508,해운대구,아시아선수촌 커뮤니티센터,,집합,기초,한글초급_한글 이미지와 도형 활용,2021-08-25,2021-08-27,9:30,13:00,이은주B,전우양,문서 작성,컴퓨터 기초
304,1509,해운대구,아시아선수촌 커뮤니티센터,,집합,기초,디지털 미디어 리터러시와 저작권 이야기,2021-08-26,2021-08-27,14:00,17:30,배정희,박용락,기타,기타
305,1510,해운대구,아시아선수촌 커뮤니티센터,,집합,생활,(공공앱) 폰으로 즐기는 방송,2021-08-30,2021-08-31,9:30,13:00,이은주B,전우양,정부 행정서비스,생활 서비스
306,1512,해운대구,해운대 대림1차아파트,,집합,기초,친절한 스마트씨!(스마트폰 기초),2021-08-03,2021-08-04,9:30,13:00,송정임,장윤아,컴퓨터/모바일 기기 관리,컴퓨터 기초
307,1513,해운대구,해운대 대림1차아파트,,집합,기초,친절한 스마트씨!(스마트폰 기초),2021-08-03,2021-08-04,14:00,17:30,김병주,김지은,컴퓨터/모바일 기기 관리,컴퓨터 기초
308,1514,해운대구,해운대 대림1차아파트,,집합,기초,나도 이제 사진작가,2021-08-05,2021-08-06,9:30,13:00,송정임,장윤아,이미지/동영상 제작편집,미디어 창작/앱 개발
309,1515,해운대구,해운대 대림1차아파트,,집합,기초,나도 이제 사진작가,2021-08-05,2021-08-06,14:00,17:30,김병주,김지은,이미지/동영상 제작편집,미디어 창작/앱 개발
310,1516,해운대구,해운대 대림1차아파트,,집합,기초,"SNS 기초_카카오톡, 카카오스토리",2021-08-10,2021-08-11,9:30,13:00,송정임,장윤아,sns 활용,소셜 미디어
311,1517,해운대구,해운대 대림1차아파트,,집합,기초,"SNS 기초_카카오톡, 카카오스토리",2021-08-10,2021-08-11,14:00,17:30,김병주,김지은,sns 활용,소셜 미디어
312,1518,해운대구,해운대 대림1차아파트,,집합,기초,SNS 스타_인스타그램,2021-08-12,2021-08-13,9:30,13:00,송정임,장윤아,sns 활용,소셜 미디어
313,1519,해운대구,해운대 대림1차아파트,,집합,생활,편리한 교통 생활,2021-08-12,2021-08-13,14:00,17:30,김병주,김지은,이미지/동영상 제작편집,미디어 창작/앱 개발
314,1520,해운대구,해운대 대림1차아파트,,집합,생활,집에서 만나는 장보기,2021-08-17,2021-08-18,9:30,13:00,송정임,장윤아,쇼핑,소셜 미디어
315,1521,해운대구,해운대 대림1차아파트,,집합,생활,(공공앱) 손쉽게 소통하는 편리한 민원,2021-08-19,2021-08-20,9:30,13:00,송정임,장윤아,정부 행정서비스,생활 서비스
316,1522,해운대구,해운대 대림1차아파트,,집합,생활,편리한 어플리케이션,2021-08-19,2021-08-20,14:00,17:30,김병주,김지은,이미지/동영상 제작편집,미디어 창작/앱 개발
317,1523,해운대구,해운대 대림1차아파트,,집합,생활,키네마스터 앱을 활용한 동영상 만들기,2021-08-24,2021-08-27,9:30,13:00,송정임,장윤아,이미지/동영상 제작편집,미디어 창작/앱 개발
318,1524,해운대구,해운대 대림1차아파트,,집합,생활,집에서 만나는 장보기,2021-08-24,2021-08-25,14:00,17:30,김병주,김지은,쇼핑,소셜 미디어
319,1525,해운대구,해운대 대림1차아파트,,집합,생활,키오스크와 함께 스마트한 생활,2021-08-26,2021-08-27,14:00,17:30,김병주,김지은,다양한 IT기기 이용방법,생활 서비스
320,1526,해운대구,해운대 대림1차아파트,,집합,생활,키오스크와 함께 스마트한 생활,2021-08-30,2021-08-31,9:30,13:00,송정임,장윤아,다양한 IT기기 이용방법,생활 서비스
321,1527,해운대구,해운대 대림1차아파트,,집합,생활,(공공앱) 앱으로 관리하는 우리가족 건강관리,2021-08-30,2021-08-31,14:00,17:30,김병주,김지은,정부 행정서비스,생활 서비스
